LemonEntry,partOfSpeech,article_singular,writtenForm (singular),spanish_writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference_dbpedia,domain_dbpedia,range_dbpedia,domainSingularArticle,domainWrittenSingularForm,domainWrittenPluralForm,rangeSingularArticle,rangeWrittenSingularForm,rangeWrittenPluralFormIndex
music_by,noun,feminine_la,musica,le musiche,di,NounPPFrame,range,domain,1,dbo:musicBy,dbo:Person,dbo:Musical,feminine_la,persona,persone,feminine_la,musical,musical
height_of_1,noun,article_l',altezza,-,di,NounPPFrame,range,domain,1,dbo:height,dbo:Model,xsd:double,feminine_la,modella,modelle,feminine_la,-,-
height_of_2,noun,article_l',altezza,-,di,NounPPFrame,range,domain,1,dbo:height,dbo:Tower,xsd:double,feminine_la,torre,torri,feminine_la,-,-
wife-of,noun,feminine_la,moglie,le mogli,di,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,feminine_la,persona,persone,feminine_la,persona,persone
host_of,noun,masculine_il,presentatore,i presentatori,di,NounPPFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person,feminine_la,show televisivo,show televisivi,feminine_la,persona,persone
cost-of,noun,masculine_il,costo,i costi,di,NounPPFrame,range,domain,1,dbo:budget,dbo:Film,xsd:double,feminine_la,film,films,feminine_la,-,-
causeOfDeath_of,noun,feminine_la,la causa di morte,le cause di morte,di,NounPPFrame,range,domain,1,dbo:deathCause,dbo:Person,xsd:String,feminine_la,persona,persone,feminine_la,ragione,ragioni
seating_capacity_of,noun,feminine_la,la capienza,-,di,NounPPFrame,range,domain,1,dbo:seatingCapacity,dbo:SoccerClub,xsd:nonNegativeInteger,feminine_la,soccer club,soccer clubs,feminine_la,-,-
largest_country_in,noun,masculine_il,il paese pi— grande,-,di,NounPPFrame,range,domain,1,dbo:areaTotal,dbo:Country,dbo:Country,feminine_la,paese,-,feminine_la,paese,-
mayor_of,noun,masculine_il,il sindaco,-,di,NounPPFrame,range,domain,1,dbo:mayor,dbo:City,dbo:Person,feminine_la,citt…,citt…,feminine_la,persona,persone
coach_of,noun,article_l,l'allenatore,-,di,NounPPFrame,range,domain,1,dbo:coach,dbo:IceHockeyLeague,dbo:Person,feminine_la,lega hockey da ghiacciio,leghe hockey da ghiaccio,feminine_la,persona,persone
birthYear_of,noun,article_l,l'anno di nascita,-,di,NounPPFrame,range,domain,1,dbo:birthYear,dbo:Person,xsd:gYear,feminine_la,persona,persone,feminine_la,anno,anni
birthPlace_of,noun,masculine_il,il luogo di nascita,-,di,NounPPFrame,range,domain,1,dbo:birthPlace,dbo:Person,dbo:Place,feminine_la,persona,persone,feminine_la,luogo,luoghi
populationTotal-of,noun,feminine_la,la popolazione totale,-,di,NounPPFrame,domain,range,1,dbo:populationTotal,dbo:Place,xsd:nonNegativeInteger,feminine_la,luogo,luoghi,feminine_la,-,-
Location-of_1,noun,feminine_la,la posizione,-,di,NounPPFrame,range,domain,1,dbo:location,dbo:Place,dbo:Place,feminine_la,luogo,luoghi,feminine_la,luogo,luoghi
Location-of_2,noun,feminine_la,la posizione,-,di,NounPPFrame,range,domain,1,dbo:location,dbo:Mountain,dbo:Place,feminine_la,montagna,montagne,feminine_la,luogo,luoghi
officialLanguage-of,noun,feminine_la,la lingua ufficiale,le lingue ufficiali,di,NounPPFrame,range,domain,1,dbo:officialLanguage,dbo:Country,dbo:Language,feminine_la,paese,paesi,feminine_la,lingua,lingue
ingredient_of,noun,article_l,l'ingrediente,gli ingredienti,di,NounPPFrame,range,domain,1,dbo:ingredient,dbo:Food,owl:Thing,feminine_la,cibo,cibi,feminine_la,cosa,cose
dissolutionDate_of,noun,feminine_la,la data di dissoluzione,-,di,NounPPFrame,range,domain,1,dbo:dissolutionDate,dbo:PopulatedPlace,xsd:date,feminine_la,luogo popolato,luoghi popolati,feminine_la,-,-
firstSeason_of,noun,feminine_la,la prima stagione,le prime stagioni,di,NounPPFrame,range,domain,1,dbo:seasonNumber,dbo:TelevisionShow,xsd:nonNegativeInteger,feminine_la,show televisivo,show televisivi,feminine_la,-,-
largestCity_of,noun,feminine_la,la citt… pi— grande,-,di,NounPPFrame,range,domain,1,dbo:largestCity,dbo:Country,dbo:City,feminine_la,paese,paesi,feminine_la,citt…,citt…
programmingLanguage_of,noun,masculine_il,il linguaggio di programmazione,i linguaggi di programmazione,di,NounPPFrame,range,domain,1,dbo:programmingLanguage,dbo:Software,dbo:Language,feminine_la,software,software,feminine_la,linguaggio,linguaggi
editor_of,noun,article_l,l'editore,gli editori,di,NounPPFrame,range,domain,1,dbo:editor,dbo:Work,dbo:Person,feminine_la,opera,opere,feminine_la,persona,persone
number_of,noun,masculine_il,il numero di sedi,-,di,NounPPFrame,range,domain,1,dbo:numberOfLocations,dbo:Company,xsd:nonNegativeInteger,feminine_la,compagnia,compagnie,feminine_la,-,-
capital-of,noun,feminine_la,la capitale,-,di,NounPPFrame,range,domain,1,dbo:capital,dbo:Country,dbo:City,feminine_la,paese,paesi,feminine_la,citt…,citt…
child_of,noun,masculine_il,il figlio,i figli,di,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,feminine_la,persona,persone,feminine_la,persona,persone
DeathDate-of_1,noun,feminine_la,la data di morte,-,di,NounPPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date,feminine_la,persona,persone,feminine_la,-,-
DeathDate-of_2,noun,feminine_la,la data di morte,-,of,NounPPFrame,range,domain,1,dbo:deathDate,dbo:Royalty,xsd:date,feminine_la,i reali,i reali,feminine_la,-,-
nationality_of,noun,feminine_la,la nazionalit…,-,dii,NounPPFrame,range,domain,1,dbo:nationality,dbo:Person,dbo:Country,feminine_la,persona,persone,feminine_la,persona,persone
alterEgo-of,noun,article_l,l'alter ego,-,di,NounPPFrame,range,domain,1,dbo:alterEgo,dbo:TelevisionShow,dbo:Person,feminine_la,show televisivo,show televisivi,feminine_la,persona,persone
formOfGovernment-of,noun,feminine_la,la forma di governo,-,di,NounPPFrame,range,domain,1,dbo:governmentType,dbo:Country,dbo:GovernmentType,feminine_la,paese,paesi,feminine_la,forma di governo,forme di governo
recordLabel_of,noun,masculine_il,il produttore,i produttori,di,NounPPFrame,range,domain,1,dbo:RecordLabel,dbo:Genre,xsd:string,feminine_la,genere,generi,feminine_la,-,-
wine_region_of,noun,feminine_la,la regione del vino,le regioni del vino,di,NounPPFrame,range,domain,1,dbo:wineRegion,dbo:Grape,dbo:Place,feminine_la,uva,uva,feminine_la,luogo,luoghi
loyalty,noun,feminine_la,la lealt…,le lealt…,X,NounPPFrame,range,domain,1,dbo:connotation,dbo:Loyalty,dbo:Color,feminine_la,lealt…,lealt…,feminine_la,colore,colori
leader-of,noun,masculine_il,il capo,i capi,di,NounPPFrame,range,domain,1,dbo:leader,dbo:Country,dbo:Person,feminine_la,paese,paesi,feminine_la,persona,persone
completionDate-of,noun,feminine_la,la data di completamento,-,di,NounPPFrame,range,domain,1,dbo:completionDate,dbo:TelevisionShow,xsd:date,feminine_la,show televisivo,show televisivi,feminine_la,-,-
numberOfPages-of,noun,masculine_il,il numero di pagine,-,di,NounPPFrame,range,domain,1,dbo:numberOfPages,dbo:WrittenWork,xsd:positiveInteger,feminine_la,opera scritta,opera scritta,feminine_la,-,-
vice_president_of,noun,masculine_il,il vice presidente,i vice presidenti,di,NounPPFrame,range,domain,1,dbo:vicePresident,dbo:Person,dbo:Person,feminine_la,persona,persone,feminine_la,persona,persone
successor_of,noun,masculine_il,il successore,-,di,NounPPFrame,range,domain,1,dbo:successor,dbo:Person,dbo:Person,feminine_la,persona,persone,feminine_la,persona,persone
musicComposer-of,noun,masculine_il,il compositore musicale,i compositori musicali,di,NounPPFrame,range,domain,1,dbo:musicComposer,dbo:Film,dbo:Person,feminine_la,film,film,feminine_la,persona,persone
timeZone-of,noun,masculine_il,il fuso orario,i fusii orari,di,NounPPFrame,range,domain,1,dbo:timezone,dbo:City,xsd:string,feminine_la,citt…,ciitt…,feminine_la,-,-
currency_of,noun,feminine_la,la moneta,le monete,di,NounPPFrame,range,domain,1,dbo:currency,dbo:Country,dbo:Currency,feminine_la,paese,paesi,feminine_la,moneta,monete
developer_of,noun,masculine_lo,lo sviluppatore,gli sviluppatori,di,NounPPFrame,range,domain,1,dbo:developer,dbo:Work,dbo:Agent,feminine_la,opera,opere,feminine_la,agente,agenti
deathPlace-of,noun,feminine_la,la data di morte,-,di,NounPPFrame,range,domain,1,dbo:deathPlace,dbo:Person,dbo:Place,feminine_la,persona,persone,feminine_la,luogo ,luoghi
father_of,noun,masculine_il,il padre,-,di,NounPPFrame,range,domain,1,dbo:father,dbo:Person,dbo:Person,feminine_la,persona,persone,feminine_la,persona,persone
race_driver_with,noun,masculine_il,il pilota,i piloti,con,NounPPFrame,range,domain,1,dbo:races,dbo:FormulaOneRacer,dbo:Person,feminine_la,pilota,piloti,feminine_la,persona,persone
producer-of,noun,masculine_il,il produttore,i produttori,di,NounPPFrame,range,domain,1,dbo:producer,dbo:Film,dbo:Company,feminine_la,film,film,feminine_la,compagnia,compagnie
areaCode_of,noun,masculine_il,il prefisso,-,di,NounPPFrame,range,domain,1,dbo:areaCode,dbo:City,xsd:string,feminine_la,citt…,citt…,feminine_la,-,-
nickname_of,noun,masculine_il,il soprannome,i soprannomi,di,NounPPFrame,range,domain,1,dbp:nickname,dbo:City,xsd:string,feminine_la,citt…,citt…,feminine_la,-,-
foundationPlace_of,noun,masculine_il,luogo di fondazione,-,di,NounPPFrame,range,domain,1,dbo:foundationPlace,dbo:Organisation,dbo:City,feminine_la,organizzazione,organizzazioni,feminine_la,citt…,citt…
influencer_of,noun,article_l,l'influenza,le influenze,di,NounPPFrame,range,domain,1,dbo:influenced,dbo:Person,dbo:Person,feminine_la,persona,persone,feminine_la,persona,persone
party-of,noun,masculine_il,il partito,i partiti,di,NounPPFrame,range,domain,1,dbo:party,dbo:Politician,xsd:string,feminine_la,politico,politici,feminine_la,-,-
President-of,noun,masculine_il,il presidente,-,di,NounPPFrame,range,domain,1,dbo:office,dbo:Country,xsd:string,feminine_la,paese,paesi,feminine_la,-,-
elevation-of,noun,article_l,l'altezza,-,di,NounPPFrame,range,domain,1,dbo:elevation,dbo:Place,xsd:double,feminine_la,luogo,luoghi,feminine_la,-,-
doctoralSupervisor_of,noun,masculine_il,il tutor di dottorato,il tutor di dottorato,di,NounPPFrame,range,domain,1,dbo: doctoralAdvisor,dbo:Scientist,dbo:Person,feminine_la,scienziato,scienziati,feminine_la,persona,persone
residence-of,noun,feminine_la,la residenza,le residenze,di,NounPPFrame,range,domain,1,dbo:residence,dbo:Place,dbo:Person,feminine_la,luogo,luoghi,feminine_la,persona,persone
currency_of,noun,feminine_la,la moneta,le monete,di,NounPPFrame,range,domain,1,dbo:currency,dbo:Country,dbo:Currency,feminine_la,paese,paesi,feminine_la,moneta,monete
son_of,noun,masculine_il,il figlio,i figli,di,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,feminine_la,persona,persone,feminine_la,persona,persone
headquarter_of,noun,masculine_il,il quartier generale,-,di,NounPPFrame,range,domain,1,dbo:headquarter,dbo:Organisation,dbo:PopulatedPlace,feminine_la,organizzazione,organizzazioni,feminine_la,populated place,populated places
founder-of,noun,masculine_il,il fondatore,i fondatori,di,NounPPFrame,range,domain,1,dbo:foundedBy,dbo:Company,dbo:Agent,feminine_la,compagnia,compagnie,feminine_la,agente,agenti
foundingYear_of,noun,article_l,l'anno di fondazione,-,dii,NounPPFrame,range,domain,1,dbo:foundingYear,dbo:Company,xsd:gYear,feminine_la,compagnia,compagnie,feminine_la,anno,anni
autobiography-of,noun,article_l,l'autobiografia,-,di,NounPPFrame,range,domain,1,dbo:literaryGenre,dbo:Autobiography,dbo:Author,feminine_la,autobiografia,autobiografie,feminine_la,autore,autori
parent-of,noun,masculine_il,il genitore,i genitori,di,NounPPFrame,range,domain,1,dbo:parent,dbo:Person,dbo:Person,feminine_la,persona,persone,feminine_la,persona,persone
restingPlace-of,noun,masculine_il,il luogo di sepoltura,-,di,NounPPFrame,range,domain,1,dbo:restingPlace,dbo:Person,xsd:string,feminine_la,persona,persone,feminine_la,-,-
artisticMovement_of,noun,masculine_il,il movimento artistico,i movimenti artistici,di,NounPPFrame,range,domain,1,dbo:movement,dbo:Artist,owl:Thing,feminine_la,artista,artiisti,feminine_la,cosa,cose
author_of,noun,article_l,l'autore,gli autori,di,NounPPFrame,range,domain,1,dbo:author,dbo:Work,dbo:Person,feminine_la,opera,opere,feminine_la,persona,persone
foundation_series_of,noun,masculine_il,il ciclo della fondazione,i cicli della fondazione,di,NounPPFrame,range,domain,1,dbo:series,dbo:Foundation_series,dbo:Person,feminine_la,libro,libri,feminine_la,persona,persone
city-of,noun,feminine_la,la citt…,le citt…,di,NounPPFrame,range,domain,1,dbo:isPartOf,dbo:AdministrativeRegion,dbo:City,feminine_la,regione amministrativa,regioni amministrative,feminine_la,citt…,citt…
founder_of,noun,masculine_il,il fondatore,i fondatori,di,NounPPFrame,range,domain,1,dbo:foundedBy,dbo:BroadcastNetwork,dbo:Company,feminine_la,rete televisiva,reti televisive,feminine_la,compagnia,compagnie
membership-of,noun,masculine_il,il membro,i membri,di,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Band,dbo:MusicalArtist,feminine_la,band,band,feminine_la,artista musicale,artisti musicali
Borough-of,noun,masculine_il,il quartiere,i quartieri,di,NounPPFrame,range,domain,1,dbo:governmentType,dbo:City,dbo:Organisation,feminine_la,citt…,citt…,feminine_la,organizzazione,organizzazioni
wine_production-of,noun,feminine_la,la produzione di vino,le produzioni di vino,di,NounPPFrame,range,domain,1,dbo:wineProduced,dbo:Company,dbo:Location,feminine_la,compagnia,compagnie,feminine_la,luogo,luoghi
