LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPast,SyntacticFrame,subject,directObject,sense,reference,domain,range,GrammarRule 1:question1,GrammarRule 1:question2,GrammarRule 1:sparql,GrammarRule 2:question1,GrammarRule2: sparql
develop,verb,develop,sviluppare,develops,sviluppa,developed,ha sviluppato,TransitiveFrame,range,domain,1,dbo:developer,dbo:Work,dbo:Agent,"Which dbo:Agent (X) develops,developed Y(dbo:Work)?","Who dbo:Agent (X) develops,developed Y(dbo:Work)?",SELECT ?X WHERE { Y dbo:developer ?X.},Which dbo:Work(X) was developed by Y(dbo:Agent)?,SELECT ?X WHERE { ?X dbo:Agent Y.}
play,verb,play,interpretare,playes,interpreta,played,ha interpretato,TransitiveFrame,range,domain,1,dbo:portrayer,dbo:FictionalCharacter,dbo:Person,"Which dbo:Person (X) playes,played Y(dbo:FictionalCharacter)?","Who dbo:Person (X) playes,played Y(dbo:FictionalCharacter)?",SELECT ?X WHERE { Y dbo:portrayer ?X.},Which dbo:FictionalCharacter(X) was played by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,play,interpretare,plays,interpreta,played,ha interpretato,TransitiveFrame,range,domain,2,dbo:portrayer,dbo:Work,dbo:Actor,"Which dbo:Actor (X) plays,played Y(dbo:Work)?","Who dbo:Actor (X) plays,played Y(dbo:Work)?",SELECT ?X WHERE { Y dbo:portrayer ?X.},Which dbo:Work(X) was played by Y(dbo:Actor)?,SELECT ?X WHERE { ?X dbo:Actor Y.}
-,verb,compose,scrivere,composes,scrive,composed,ha scritto,TransitiveFrame,range,domain,3,dbp:composer,dbo:Work,dbo:Person,"Which dbo:Person (X) composes,composed Y(dbo:Work)?","Who dbo:Person (X) composes,composed Y(dbo:Work)?",SELECT ?X WHERE { Y dbp:composer ?X.},Which dbo:Work(X) was composed by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
direct,verb,direct,dirigere,directs,dirige,directed,ha diretto,TransitiveFrame,range,domain,1,dbo:director,dbo:Film,dbo:Person,"Which dbo:Person (X) directs,directed Y(dbo:Film)?","Who dbo:Person (X) directs,directed Y(dbo:Film)?",SELECT ?X WHERE { Y dbo:director ?X.},Which dbo:Film(X) was directed by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,direct,dirigere,directs,dirige,directed,ha diretto,TransitiveFrame,range,domain,2,dbo:director,dbo:Software,dbo:Person,"Which dbo:Person (X) directs,directed Y(dbo:Software)?","Who dbo:Person (X) directs,directed Y(dbo:Software)?",SELECT ?X WHERE { Y dbo:director ?X.},Which dbo:Software(X) was directed by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
design,verb,design,progettare,designs,progetta,designed,ha progettato,TransitiveFrame,range,domain,1,dbo:architect,dbo:ArchitecturalStructure,dbo:Architect,"Which dbo:Architect (X) designs,designed Y(dbo:ArchitecturalStructure)?","Who dbo:Architect (X) designs,designed Y(dbo:ArchitecturalStructure)?",SELECT ?X WHERE { Y dbo:architect ?X.},Which dbo:ArchitecturalStructure(X) was designed by Y(dbo:Architect)?,SELECT ?X WHERE { ?X dbo:Architect Y.}
-,verb,design,progettare,designs,progetta,designed,ha progettato,TransitiveFrame,range,domain,2,dbo:designer,dbo:Building,dbo:Person,"Which dbo:Person (X) designs,designed Y(dbo:Building)?","Who dbo:Person (X) designs,designed Y(dbo:Building)?",SELECT ?X WHERE { Y dbo:designer ?X.},Which dbo:Building(X) was designed by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,design,progettare,designs,progetta,designed,ha progettato,TransitiveFrame,range,domain,3,dbo:designer,dbo:Software,dbo:Person,"Which dbo:Person (X) designs,designed Y(dbo:Software)?","Who dbo:Person (X) designs,designed Y(dbo:Software)?",SELECT ?X WHERE { Y dbo:designer ?X.},Which dbo:Software(X) was designed by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
operate,verb,operate,,designs,,designed,,TransitiveFrame,range,domain,1,dbo:operator,dbo:Organisation,dbo:LaunchPad,"Which dbo:LaunchPad (X) designs,designed Y(dbo:Organisation)?","Who dbo:LaunchPad (X) designs,designed Y(dbo:Organisation)?",SELECT ?X WHERE { Y dbo:operator ?X.},Which dbo:Organisation(X) was designed by Y(dbo:LaunchPad)?,SELECT ?X WHERE { ?X dbo:LaunchPad Y.}
cross,verb,cross,attraversare,crosses,attraversa,crossed,ha attraversato,TransitiveFrame,range,domain,1,dbo:crosses,dbo:Bridge,dbo:River,"Which dbo:River (X) crosses,crossed Y(dbo:Bridge)?","Who dbo:River (X) crosses,crossed Y(dbo:Bridge)?",SELECT ?X WHERE { Y dbo:crosses ?X.},Which dbo:Bridge(X) was crossed by Y(dbo:River)?,SELECT ?X WHERE { ?X dbo:River Y.}
exhibit,verb,exhibit,,exhibits,,exhibited,,TransitiveFrame,range,domain,1,dbo:museum,dbo:Artwork,dbo: Museum,"Which dbo: Museum (X) exhibits,exhibited Y(dbo:Artwork)?","Who dbo: Museum (X) exhibits,exhibited Y(dbo:Artwork)?",SELECT ?X WHERE { Y dbo:museum ?X.},Which dbo:Artwork(X) was exhibited by Y(dbo: Museum)?,SELECT ?X WHERE { ?X dbo: Museum Y.}
discover,verb,discover,scoprire,discovers,scopre,discovered,ha scoperto,TransitiveFrame,range,domain,1,dbo:discoverer,dbo:Place,dbo:Person,"Which dbo:Person (X) discovers,discovered Y(dbo:Place)?","Who dbo:Person (X) discovers,discovered Y(dbo:Place)?",SELECT ?X WHERE { Y dbo:discoverer ?X.},Which dbo:Place(X) was discovered by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
produce,verb,produce,produrre,produces,produce,produced,ha prodotto,TransitiveFrame,range,domain,1,dbo:producer,dbo:Film,dbo:Person,"Which dbo:Person (X) produces,produced Y(dbo:Film)?","Who dbo:Person (X) produces,produced Y(dbo:Film)?",SELECT ?X WHERE { Y dbo:producer ?X.},Which dbo:Film(X) was produced by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,produce,produrre,produces,produce,produced,ha prodotto,TransitiveFrame,range,domain,2,dbo:producer,dbo:Work,dbo:Person,"Which dbo:Person (X) produces,produced Y(dbo:Work)?","Who dbo:Person (X) produces,produced Y(dbo:Work)?",SELECT ?X WHERE { Y dbo:producer ?X.},Which dbo:Work(X) was produced by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,produce,produrre,produces,produce,produced,ha prodotto,TransitiveFrame,range,domain,3,dbo:executiveProducer,dbo:TelevisionShow,dbo:Person,"Which dbo:Person (X) produces,produced Y(dbo:TelevisionShow)?","Who dbo:Person (X) produces,produced Y(dbo:TelevisionShow)?",SELECT ?X WHERE { Y dbo:executiveProducer ?X.},Which dbo:TelevisionShow(X) was produced by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,produce,produrre,produces,produce,produced,ha prodotto,TransitiveFrame,range,domain,3,dbo:manufacturer,dbo:Beverage,dbo:Organisation,"Which dbo:Organisation (X) produces,produced Y(dbo:Beverage)?","Who dbo:Organisation (X) produces,produced Y(dbo:Beverage)?",SELECT ?X WHERE { Y dbo:manufacturer ?X.},Which dbo:Beverage(X) was produced by Y(dbo:Organisation)?,SELECT ?X WHERE { ?X dbo:Organisation Y.}
publish,verb,publish,pubblicare,publishes,pubblica,published,ha pubblicato,TransitiveFrame,range,domain,1,dbo:publisher,dbo:Book,dbo:Agent,"Which dbo:Agent (X) publishes,published Y(dbo:Book)?","Who dbo:Agent (X) publishes,published Y(dbo:Book)?",SELECT ?X WHERE { Y dbo:publisher ?X.},Which dbo:Book(X) was published by Y(dbo:Agent)?,SELECT ?X WHERE { ?X dbo:Agent Y.}
-,verb,publish,pubblicare,publishes,pubblica,published,ha pubblicato,TransitiveFrame,range,domain,2,dbo:publisher,dbo:VideoGame,dbo:Agent,"Which dbo:Agent (X) publishes,published Y(dbo:VideoGame)?","Who dbo:Agent (X) publishes,published Y(dbo:VideoGame)?",SELECT ?X WHERE { Y dbo:publisher ?X.},Which dbo:VideoGame(X) was published by Y(dbo:Agent)?,SELECT ?X WHERE { ?X dbo:Agent Y.}
-,verb,publish,pubblicare,publish,pubblica,published,ha pubblicato,TransitiveFrame,range,domain,3,dbo:publisher,dbo:Work,dbo:Person,"Which dbo:Person (X) publish,published Y(dbo:Work)?","Who dbo:Person (X) publish,published Y(dbo:Work)?",SELECT ?X WHERE { Y dbo:publisher ?X.},Which dbo:Work(X) was published by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,publish,pubblicare,publishes,pubblica,published,ha pubblicato,TransitiveFrame,range,domain,4,dbp:publisher,dbo:Work,dbo:Agent,"Which dbo:Agent (X) publishes,published Y(dbo:Work)?","Who dbo:Agent (X) publishes,published Y(dbo:Work)?",SELECT ?X WHERE { Y dbp:publisher ?X.},Which dbo:Work(X) was published by Y(dbo:Agent)?,SELECT ?X WHERE { ?X dbo:Agent Y.}
serve,verb,serve,,serves,,served,,TransitiveFrame,range,domain,1,dbo:targetAirport,dbo:Airline,dbo:Airport,"Which dbo:Airport (X) serves,served Y(dbo:Airline)?","Who dbo:Airport (X) serves,served Y(dbo:Airline)?",SELECT ?X WHERE { Y dbo:targetAirport ?X.},Which dbo:Airline(X) was served by Y(dbo:Airport)?,SELECT ?X WHERE { ?X dbo:Airport Y.}
write,verb,write,scrivere,writes,scrive,wrote,ha scritto,TransitiveFrame,range,domain,1,dbo:writer,dbo:Song,dbo:Person,"Which dbo:Person (X) writes,wrote Y(dbo:Song)?","Who dbo:Person (X) writes,wrote Y(dbo:Song)?",SELECT ?X WHERE { Y dbo:writer ?X.},Which dbo:Song(X) was wrote by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,write,scrivere,writes,scrive,wrote,ha scritto,TransitiveFrame,range,domain,2,dbo:writer,dbo:Book,dbo:Person,"Which dbo:Person (X) writes,wrote Y(dbo:Book)?","Who dbo:Person (X) writes,wrote Y(dbo:Book)?",SELECT ?X WHERE { Y dbo:writer ?X.},Which dbo:Book(X) was wrote by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,write,scrivere,writes,scrive,wrote,ha scritto,TransitiveFrame,range,domain,3,dbo:writer,dbo:MusicalWork,dbo:Person,"Which dbo:Person (X) writes,wrote Y(dbo:MusicalWork)?","Who dbo:Person (X) writes,wrote Y(dbo:MusicalWork)?",SELECT ?X WHERE { Y dbo:writer ?X.},Which dbo:MusicalWork(X) was wrote by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,write,scrivere,writes,scrive,wrote,ha scritto,TransitiveFrame,range,domain,4,dbo:author,dbo:Book,dbo:Agent,"Which dbo:Agent (X) writes,wrote Y(dbo:Book)?","Who dbo:Agent (X) writes,wrote Y(dbo:Book)?",SELECT ?X WHERE { Y dbo:author ?X.},Which dbo:Book(X) was wrote by Y(dbo:Agent)?,SELECT ?X WHERE { ?X dbo:Agent Y.}
-,verb,write,scrivere,writes,scrive,wrote,ha scritto,TransitiveFrame,range,domain,5,dbo:writer,dbo:Work,dbo:Person,"Which dbo:Person (X) writes,wrote Y(dbo:Work)?","Who dbo:Person (X) writes,wrote Y(dbo:Work)?",SELECT ?X WHERE { Y dbo:writer ?X.},Which dbo:Work(X) was wrote by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,write,scrivere,writes,scrive,wrote,ha scritto,TransitiveFrame,range,domain,6,dbp:allLyrics,dbo:Album,dbo:Person,"Which dbo:Person (X) writes,wrote Y(dbo:Album)?","Who dbo:Person (X) writes,wrote Y(dbo:Album)?",SELECT ?X WHERE { Y dbp:allLyrics ?X.},Which dbo:Album(X) was wrote by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,write,scrivere,writes,scrive,wrote,ha scritto,TransitiveFrame,range,domain,7,dbp:writer,dbo:Work,dbo:Person,"Which dbo:Person (X) writes,wrote Y(dbo:Work)?","Who dbo:Person (X) writes,wrote Y(dbo:Work)?",SELECT ?X WHERE { Y dbp:writer ?X.},Which dbo:Work(X) was wrote by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
paint,verb,paint,dipingere,paints,dipinge,painted,ha dipinto,TransitiveFrame,range,domain,1,dbo:artist,dbo:Work,dbo:Person,"Which dbo:Person (X) paints,painted Y(dbo:Work)?","Who dbo:Person (X) paints,painted Y(dbo:Work)?",SELECT ?X WHERE { Y dbo:artist ?X.},Which dbo:Work(X) was painted by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
star,verb,star,,stars,,starred,,TransitiveFrame,range,domain,1,dbo:starring,dbo:Work,dbo:Actor,"Which dbo:Actor (X) stars,starred Y(dbo:Work)?","Who dbo:Actor (X) stars,starred Y(dbo:Work)?",SELECT ?X WHERE { Y dbo:starring ?X.},Which dbo:Work(X) was starred by Y(dbo:Actor)?,SELECT ?X WHERE { ?X dbo:Actor Y.}
win,verb,win,vincere,wins,vince,won,ha vinto,TransitiveFrame,range,domain,1,dbo:award,dbo:Person,dbo:Award,"Which dbo:Award (X) wins,won Y(dbo:Person)?","Who dbo:Award (X) wins,won Y(dbo:Person)?",SELECT ?X WHERE { Y dbo:award ?X.},Which dbo:Person(X) was won by Y(dbo:Award)?,SELECT ?X WHERE { ?X dbo:Award Y.}
win,verb,win,vincere,wins,vince,won,ha vinto,TransitiveFrame,range,domain,1,dbo:award,dbo:Work,dbo:Person,"Which dbo:Person (X) wins,won Y(dbo:Work)?","Who dbo:Person (X) wins,won Y(dbo:Work)?",SELECT ?X WHERE { Y dbo:award ?X.},Which dbo:Work(X) was won by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
found,verb,found,fondare,founds,fonda,founded,ha fondato,TransitiveFrame,range,domain,1,dbo:foundedBy,dbo:Organisation,dbo:Person,"Which dbo:Person (X) founds,founded Y(dbo:Organisation)?","Who dbo:Person (X) founds,founded Y(dbo:Organisation)?",SELECT ?X WHERE { Y dbo:foundedBy ?X.},Which dbo:Organisation(X) was founded by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,found,fondare,founds,fonda,founded,ha fondato,TransitiveFrame,range,domain,2,dbp:founder,dbo:Organisation,dbo:Person,"Which dbo:Person (X) founds,founded Y(dbo:Organisation)?","Who dbo:Person (X) founds,founded Y(dbo:Organisation)?",SELECT ?X WHERE { Y dbp:founder ?X.},Which dbo:Organisation(X) was founded by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
present,verb,present,presentare,presents,presenta,presented,ha presentato,TransitiveFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person,"Which dbo:Person (X) presents,presented Y(dbo:TelevisionShow)?","Who dbo:Person (X) presents,presented Y(dbo:TelevisionShow)?",SELECT ?X WHERE { Y dbo:presenter ?X.},Which dbo:TelevisionShow(X) was presented by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
