"QALD id"	"match status"	"QALD question"	"QueGG question"	"QALD SPARQL query"	"QueGG SPARQL query"	"TP"	"FP"	"FN"	"Precision"	"Recall"	"F-Measure"
"0"	"false"	"Wann fand die Schlacht von Gettysburg statt?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?date 
WHERE { 
       res:Battle_of_Gettysburg dbo:date ?date .
}"		"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"1"	"false"	"Liste alle Musicals mit Musik von Elton John auf."		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
        ?uri rdf:type dbo:Musical .
        ?uri dbo:musicBy res:Elton_John .
}"		"0.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"
"2"	"false"	"Wie hoch ist der Leuchtturm in Colombo?"		"SELECT DISTINCT ?num WHERE {  <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height> ?num . } "		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"3"	"false"	"Wer war die Frau von US-Präsident Lincoln?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:Abraham_Lincoln dbo:spouse ?uri.
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"4"	"false"	"Wer moderiert die BBC Wildlife Specials?"		"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter> ?uri . }"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"5"	"false"	"Wieviel hat Pulp Fiction gekostet?"		"SELECT DISTINCT ?n WHERE {  <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?n . } "		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"6"	"false"	"In welcher Stadt ist die Heinekenbrauerei?"		"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri . }"		"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"7"	"false"	"Wann wurde die Operation Overlord durchgeführt?"		"SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?d . } "		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"8"	"false"	"In welcher Stadt hört die Ruta 68 auf?"		"SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?uri . } "		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"9"	"false"	"Wer hat Slack entwickelt?"		"SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Slack_(software)> . }"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"10"	"false"	"Wer war mit Präsident Chirac verheiratet?"		"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri
WHERE { 
         res:Jacques_Chirac dbo:spouse ?uri .
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"11"	"false"	"Woran ist Bruce Carver gestorben?"		"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Bruce_Carver dbo:deathCause ?uri .     
}"		"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"12"	"false"	"Wer malte Christus im Sturm auf dem See von Galilea?"		"PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:The_Storm_on_the_Sea_of_Galilee dbp:artist ?uri .
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"13"	"false"	"Durch welche Städte fließt die Weser?"		"SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city> ?uri . } "		"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"14"	"false"	"Wieviele Plätze hat das Heimstadium des FC Porto?"		"SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/FC_Porto> <http://dbpedia.org/ontology/ground> ?x . ?x <http://dbpedia.org/ontology/seatingCapacity> ?n . } "		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"15"	"false"	"Mit wem ist die Tochter von Robert Kennedy verheiratet?"		"SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?child .  ?child <http://dbpedia.org/ontology/spouse> ?uri . } "		"0.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"
"16"	"false"	"Welche Bücher von Kerouac wurden von Viking Press verlegt?"		"SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> .  ?uri <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> .  ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Jack_Kerouac> . } "		"0.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"
"17"	"false"	"Wie groß ist Amazon Eve?"		"SELECT DISTINCT ?height WHERE {  <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/height> ?height . } "		"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"18"	"false"	"In welchem Museum ist Der Schrei von Munch ausgestellt?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
       res:The_Scream dbo:museum ?uri .
}"		"0.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"
"19"	"false"	"Wer schrieb das Buch Die Säulen der Erde?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:The_Pillars_of_the_Earth dbo:author ?uri .
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"20"	"false"	"Ist James Bond verheiratet?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
        res:James_Bond dbo:spouse ?uri . 
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"21"	"false"	"Wer entdeckte Ceres?"		"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer> ?uri . }"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"22"	"false"	"Welchen Fluss überspannt die Brooklyn Bridge?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {       
        res:Brooklyn_Bridge dbo:crosses ?uri . 
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"23"	"false"	"Wer wurde Frank The Tank genannt?"		"PREFIX dbp: <http://dbpedia.org/property/> 
SELECT DISTINCT ?uri 
WHERE { 
        ?uri dbp:nickname 'Frank The Tank'@en . 
}"		"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"24"	"false"	"Was ist das größte Land der Welt?"		"SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/ontology/areaTotal> ?n . } ORDER BY DESC(?n) OFFSET 0 LIMIT 1"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"25"	"false"	"Wer ist Bürgermeister von Paris?"		"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor> ?uri . }"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"26"	"false"	"Wer ist der Trainer von Ankaras Eishockeymannschaft?"		"SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Ankara> . ?x <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League> . ?x <http://dbpedia.org/ontology/coach> ?uri . }"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"27"	"false"	"Wer ist der Bürgermeister der Hauptstadt von Französisch-Polynesien?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
        res:French_Polynesia dbo:capital ?x .
        ?x dbo:mayor ?uri .
}"		"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"28"	"false"	"Welche Preise hat Douglas Hofstadter gewonnen?"		"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Douglas_Hofstadter dbo:award ?uri .
}"		"0.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"
"29"	"false"	"Wieviel hat der Legofilm gekostet?"		"SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/The_Lego_Movie> <http://dbpedia.org/ontology/budget> ?n . } "		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"30"	"false"	"Wo fängt Piccadilly an?"		"SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/routeStart> <http://dbpedia.org/resource/Piccadilly>. } "		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"31"	"false"	"Haben Prinz Harry und Prinz William dieselben Eltern?"		"PREFIX dbo: <http://dbpedia.org/ontology/> 
ASK
WHERE { 
        <http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge> dbo:parent ?x . 
        <http://dbpedia.org/resource/Prince_Harry> dbo:parent ?x .
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"32"	"false"	"Wer hat Agent Smith in Matrix gespielt?"		"PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
        res:Agent_Smith dbp:portrayer ?uri . 
}"		"0.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"
"33"	"false"	"Wieviele Sprachen werden in Turkmenistan gesprochen?"		"SELECT (COUNT(DISTINCT ?x) as ?c) WHERE {  <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language> ?x . } "		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"34"	"false"	"In welchen Filmen spielen sowohl Julia Roberts als auch Richard Gere mit?"		"SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Julia_Roberts> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Gere> . } "		"0.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"
"35"	"false"	"In welchem Land entspringt der Ganges?"		"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
        res:Ganges dbo:sourceCountry ?uri .
}"		"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"36"	"false"	"In welchem Jahr wurde Rachel Stevens geboren?"		"SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthYear> ?uri . } "		"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"37"	"false"	"Ist Barack Obama ein Demokrat?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK
WHERE { 
        res:Barack_Obama dbo:party <http://dbpedia.org/resource/Democratic_Party_(United_States)> . 
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"38"	"false"	"Wo wurde Bach geboren?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
        res:Johann_Sebastian_Bach dbo:birthPlace ?uri .
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"39"	"false"	"Wie oft hat Jane Fonda geheiratet?"		"SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?uri . } "		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"40"	"false"	"Wer hat als erstes den Mount Everest bestiegen?"		"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
          res:Mount_Everest dbo:firstAscentPerson ?uri . 
}"		"0.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"
"41"	"false"	"Wieviele Menschen leben in Polen?"		"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal> ?uri . }  "		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"42"	"false"	"Wo ist der Westminster-Palast?"		"SELECT ?uri WHERE {  <http://dbpedia.org/resource/Palace_of_Westminster> <http://dbpedia.org/ontology/location> ?uri . } "		"0.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"
"43"	"false"	"Spielt Christian Bale in Batman Begins mit?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
	res:Batman_Begins dbo:starring res:Christian_Bale .
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"44"	"false"	"In welchem Land befindet sich der Limerick Lake?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
	res:Limerick_Lake dbo:country ?uri .
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"45"	"false"	"Was war der letzte Film mit Alec Guinness?"		"SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Alec_Guinness> .  ?uri <http://dbpedia.org/ontology/releaseDate> ?date . } ORDER BY DESC(?date) LIMIT 1 "		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"46"	"false"	"Was ist der höchste Berg in Australien?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
	?uri rdf:type dbo:Mountain .
        ?uri dbo:locatedInArea res:Australia .
        ?uri dbo:elevation ?elevation .
} 
ORDER BY DESC(?elevation) LIMIT 1"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"47"	"false"	"Lebt Frank Herbert noch?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
	OPTIONAL { res:Frank_Herbert dbo:deathDate ?date . }
        FILTER (!BOUND(?date))
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"48"	"false"	"Wer hat sich Family Guy ausgedacht?"		"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Family_Guy> <http://dbpedia.org/ontology/creator> ?uri . }  "		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"49"	"false"	"Was ist die Amtssprache Von Surinam?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
        res:Suriname dbo:officialLanguage ?uri .
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"50"	"false"	"Wer hat das Lied Hotel California geschrieben?"		"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hotel_California> <http://dbpedia.org/ontology/writer> ?uri . }"		"0.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"
"51"	"false"	"Gib mir alle Schauspieler von Filmen, in denen William Shatner Regie geführt hat."		"SELECT DISTINCT ?uri WHERE {  ?x <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/William_Shatner> .  ?x <http://dbpedia.org/ontology/starring> ?uri . } "		"0.0"	"0.0"	"19.0"	"0.0"	"0.0"	"0.0"
"52"	"false"	"Was ist in Chocolate Chip Cookies drin?"		"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chocolate_chip_cookie> <http://dbpedia.org/ontology/ingredient> ?uri . }"		"0.0"	"0.0"	"10.0"	"0.0"	"0.0"	"0.0"
"53"	"false"	"Gib mir alle Profiskateboarder aus Schweden."		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	?uri dbo:occupation res:Skateboarding . 
        { ?uri dbo:birthPlace res:Sweden . }
        UNION
        { ?uri dbo:birthPlace ?place . 
          ?place dbo:country res:Sweden . }
}"		"0.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"
"54"	"false"	"Welche Zutaten brauche ich für Möhrenkuchen?"		"SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Carrot_cake> <http://dbpedia.org/ontology/ingredient> ?uri . } "		"0.0"	"0.0"	"5.0"	"0.0"	"0.0"	"0.0"
"55"	"false"	"Spielt Neymar für Real Madrid?"		"ASK WHERE { <http://dbpedia.org/resource/Neymar> <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Real_Madrid_C.F.> . }"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"56"	"false"	"Welcher Informatiker hat einen Oscar gewonnen?"		"SELECT DISTINCT ?uri WHERE { { ?uri <http://dbpedia.org/ontology/field> <http://dbpedia.org/resource/Computer_science> . } UNION { ?uri <http://purl.org/dc/elements/1.1/description> ?s . FILTER regex(?s,'computer scientist','i') } ?uri <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Academy_Awards> . } "		"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"57"	"false"	"Wieviele Firmen wurden im selben Jahr wie Google gegründet?"		"SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company> .  ?uri <http://dbpedia.org/ontology/foundingYear> ?year .  <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/foundingYear> ?year . } "		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"58"	"false"	"In welcher Stadt im Vereinigten Königreich ist das Hauptquartier des MI6?"		"PREFIX res: <http://dbpedia.org/resource/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE { 
        res:Secret_Intelligence_Service dbo:headquarter ?uri . 
        ?uri dbo:country res:United_Kingdom . 
}"		"0.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"
"59"	"false"	"War die Kubakrise vor der Schweinebuchtinvasion?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
        res:Cuban_Missile_Crisis dbo:date ?x .
	res:Bay_of_Pigs_Invasion dbo:date ?y .
	FILTER (?x < ?y)
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"60"	"false"	"Wofür steht IYCM?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
        ?uri dbo:abbreviation 'IYCM' .
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"61"	"false"	"Wann endete die Ming-Dynastie?"		"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?date
WHERE {  
        res:Ming_dynasty dbo:dissolutionDate ?date .
}"		"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"62"	"false"	"Liste alle Episoden der ersten Staffel der HBO-Fernsehserie Die Sopranos auf."		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	?uri dbo:series res:The_Sopranos  .
        ?uri dbo:seasonNumber 1 .
}"		"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"63"	"false"	"Was ist die Gesamteinwohnerzahl von Melbourne, Florida?"		"PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT ?uri 
WHERE { 
        <http://dbpedia.org/resource/Melbourne,_Florida> dbo:populationTotal ?uri .
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"64"	"false"	"Hat Arnold Schwarzenegger eine Universität besucht?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
ASK
WHERE {
        res:Arnold_Schwarzenegger dbo:almaMater ?x .
        ?x rdf:type dbo:University .
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"65"	"false"	"In welchem Land ist der Mount Everest?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
        res:Mount_Everest dbo:locatedInArea ?uri . 
        ?uri rdf:type dbo:Country .
}"		"0.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"
"66"	"false"	"Was ist die größte Stadt in Australien?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:Australia dbo:largestCity ?uri .
}"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"67"	"false"	"Gib mir alle von der NASA betriebenen Startrampen."		"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri 
WHERE { 
        ?uri rdf:type dbo:LaunchPad .  
        ?uri dbo:operator res:NASA . 
}"		"0.0"	"0.0"	"14.0"	"0.0"	"0.0"	"0.0"
"68"	"false"	"Wer ist der Bürgermeister von Tel Aviv?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
        res:Tel_Aviv dbo:leaderName ?uri .
}"		"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"69"	"false"	"Liste alle Episoden der ersten Staffel der HBO-Fernsehserie Die Sopranos auf."		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
        ?uri dbo:series res:The_Sopranos  .
        ?uri dbo:seasonNumber 1 .
}"		"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"
"70"	"false"	"Wer hat Batman erfunden?"		"SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Batman> <http://dbpedia.org/ontology/creator> ?uri . } "		"0.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"
"71"	"false"	"Wer hat Gus Fring in Breaking Bad gespielt?"		"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Gus_Fring> <http://dbpedia.org/ontology/portrayer> ?uri . }"		"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"
"72"	"false"	"In welcher Programmiersprache wurde GIMP geschrieben?"		"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
	res:GIMP dbo:programmingLanguage ?uri .
}"		"0.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"
"73"	"false"	"In welchem alten Reich konnte man mit Kakaobohnen bezahlen?"		"SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/currency> <http://dbpedia.org/resource/Cocoa_bean> . }"		"0.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"
